model,accuracy,precision,recall,f1,roc_auc,pr_auc,train_time
Basic MLP,0.8456836116097132,0.153043135710065,0.7518142235123367,0.2543163407249816,0.8830505432158375,0.4690461193452169,796.8049163818359
Deep NN (Focal Loss),0.9707725132929184,0.9011764705882352,0.185292694726657,0.3073836276083467,0.8685749834778858,0.45958197253445,2289.8420226573944
Autoencoder (Anomaly),0.9158566735530193,0.1815188762071993,0.40009675858732463,0.24973576928884192,0.7840316563087164,0.15777523442650987,690.9214270114899
