Feature,F_Score,P_Value
V136,268.5592372039382,2.4114330747179942e-60
V338,253.27864345185057,5.147163629539093e-57
P_emaildomain,229.4651124739649,7.975458422832427e-52
TransactionAmt,213.21550504662932,2.784792956456331e-48
V100,211.09439395946248,8.079252506630928e-48
V137,210.14195685971552,1.3034339732750778e-47
V328,204.8935558736526,1.818875966412207e-46
V194,177.25691249198385,1.950801620562757e-40
M7,170.78100019910914,5.0584145994095906e-39
V104,167.90295456563973,2.1500181344988317e-38
V143,166.56252795817866,4.2184165665614657e-38
V152,152.38472740296578,5.273099761715492e-35
V335,148.66382453959477,3.4287949336393674e-34
V326,124.64555516346542,6.125591316791505e-29
V327,122.63560159538375,1.6865024674332039e-28
TransactionID,118.30608085073213,1.4949179147355945e-27
card1,109.88068689787566,1.0461281241838726e-25
V99,105.17297976830253,1.1246102702964096e-24
V26,95.69635466048871,1.3445784096463299e-22
V297,89.30366577214065,3.3980176263651136e-21
V144,88.95619365680696,4.050375258543291e-21
V173,88.53593431338568,5.008940733678599e-21
TransactionDT_IsNight,87.58318846247397,8.107737526334993e-21
TransactionDT_Hour,82.22808487141327,1.2161059463330574e-19
V319,76.96318256770557,1.746234309023752e-18
V310,69.58927152872418,7.318721753935396e-17
V135,68.88401036336344,1.0464410244660096e-16
Amount_Hour_Interaction,60.57978549828089,7.076931353543483e-15
V9,53.22292398432403,2.9813414307079614e-13
M3,50.63809773990151,1.1119332594711806e-12
addr1,44.04239621840503,3.216155953819169e-11
TransactionDT_DayOfWeek,34.65218292852948,3.944081497485237e-09
V311,31.14407861688971,2.3967366845043773e-08
V6,30.733479749985378,2.9613929030758963e-08
M9,30.47174533776295,3.389064666408041e-08
M5,28.553697718165523,9.116925308832462e-08
V3,26.86847604681583,2.1785378808425104e-07
V285,18.616953794697768,1.5981907585304767e-05
V148,16.559542268050023,4.7152270970660805e-05
Card_Combination,13.861037031271014,0.00019685552360844137
dist1,13.365293953433355,0.0002563459518294184
V25,12.402006371673787,0.0004289051190727184
card4,11.485396920680207,0.0007014972748857594
V286,11.281716457440124,0.0007827909856989956
TransactionDT_IsWeekend,8.079243787248226,0.004477666083536736
dist1_Log,7.253707845370703,0.0070756762421998595
V7,6.975349077483183,0.008264227598964878
card2,6.756575167828331,0.009340517983959302
V2,4.478375667377553,0.03432674759901077
V8,2.3446622613619237,0.1257133406068834
V130,1.8133942616489365,0.17810210881791205
TransactionAmt_IsRound,1.2739186490357157,0.2590332876337473
TransactionAmt_Log,0.22094529340314134,0.6383207680600158
M2,0.02026441208336769,0.8868011350844552
