feature,f_score,p_value,mi_score,importance,f_score_norm,mi_score_norm,importance_norm,combined_score
timbre_avg_1,20996.729499581692,0.0,0.04171420392012237,0.19483314760613032,1.0,1.0,1.0,1.0
timbre_avg_6,14569.949410979018,0.0,0.021722154560586127,0.03763038345448183,0.6939149234745047,0.5207376030040369,0.17935402313752258,0.46466884987202145
timbre_avg_3,7867.332873572159,0.0,0.013034810743802971,0.09963155352280742,0.3746927208334794,0.31247895246336355,0.5030188839427331,0.39673018574652535
timbre_cov_2,2659.299415919288,0.0,0.021644125941928216,0.08059767956321766,0.1266522872950708,0.518867050258806,0.4036563048345399,0.3497252141294722
timbre_cov_51,7100.719206728613,0.0,0.023760643738553355,0.010657643978503736,0.3381815908980664,0.5696055900779528,0.038548164822155104,0.31544511526605806
timbre_cov_34,4802.077115031161,0.0,0.025191786591005183,0.003634193540966351,0.22870530092983232,0.603913876415918,0.0018836292056061549,0.2781676021837855
timbre_cov_28,7016.866278168689,0.0,0.016840183250462104,0.010493239083180865,0.33418796894410097,0.40370381471762007,0.037689921542201965,0.2585272350679743
timbre_avg_2,196.30654519175155,1.3695721728668046e-44,0.01677765529723363,0.05571532244684528,0.009348544063629512,0.40220485399555506,0.2737628746992512,0.22843875758614526
timbre_cov_35,4477.9186424660575,0.0,0.01831403523444841,0.008878234107949148,0.21326676568923253,0.4390359521068066,0.029259107092538265,0.22718727496285918
timbre_cov_8,3200.0974435592034,0.0,0.016171766353002326,0.02634399033929916,0.15240860747297041,0.3876800905506741,0.12043563736201461,0.22017477846188638
timbre_avg_7,4917.757638070042,0.0,0.014075197138462059,0.011424316963003127,0.2342147599837773,0.3374197711027723,0.04255042969131248,0.20472832025928736
timbre_cov_24,4571.852337268765,0.0,0.014099880968506007,0.012255732275164936,0.21774049931098782,0.33801150791479956,0.04689066909301447,0.20088089210626725
timbre_cov_55,4433.008115568444,0.0,0.012338062377920345,0.00699806538618962,0.21112783423790835,0.29577604792713375,0.019444057683825667,0.1754493132829559
timbre_cov_45,4631.718813928366,0.0,0.0066999768633921875,0.020883871175934824,0.220591730384253,0.16061619865074803,0.09193216384622994,0.15771336429374364
timbre_avg_12,3859.6651452122196,0.0,0.010600228547748003,0.009716405256541749,0.18382151217033693,0.25411556620009224,0.0336346140037983,0.1571905641247425
timbre_cov_62,2833.0868199658225,0.0,0.012323357169601756,0.009130052265242146,0.13492917403048052,0.29542352511867387,0.030573674039236918,0.15364212439613045
timbre_cov_29,1972.43650302302,0.0,0.01315517230480534,0.01298455772027933,0.09393940707232624,0.31536433800812536,0.050695358359108766,0.15333303447985344
timbre_cov_61,3746.446536583962,0.0,0.010446949038027675,0.007402467413911827,0.17842930549633745,0.2504410502003661,0.021555158585112057,0.15014183809393852
timbre_cov_57,4839.652669874422,0.0,0.008311018178033258,0.006259253089894748,0.23049489329507974,0.19923712781257547,0.015587234033918127,0.1484397517138578
timbre_cov_10,971.7627104504337,4.491666785739938e-213,0.014411005271201205,0.004523144495748927,0.046280811297465634,0.3454699818507031,0.006524222064181084,0.1327583384041166
timbre_cov_59,1.3202273024960547,0.2505519583323397,0.015206284435731021,0.006911306820377466,6.202714384275785e-05,0.36453493071207127,0.01899115172904602,0.1278627031949867
timbre_cov_13,1969.0359099144302,0.0,0.010899616635414056,0.006503442061180318,0.09377744870631328,0.2612926919637612,0.016861974322112918,0.12397737166406246
timbre_cov_47,4071.110325813112,0.0,0.0061226097454047945,0.006852310844774977,0.19389190720376073,0.14677517895652156,0.018683174892312058,0.1197834203508648
timbre_cov_25,1014.5543677585637,2.367889410314211e-222,0.012719488522180633,0.004409284253836707,0.048318828394867126,0.3049198432873586,0.005929837162909794,0.11972283628171183
timbre_cov_56,2901.4960207034987,0.0,0.008807017833466269,0.004738393021254866,0.1381872651980892,0.2111275538262851,0.007647884471997449,0.1189875678321239
timbre_avg_4,12.072511141797621,0.0005117622613362222,0.012803947136231564,0.009821144519423716,0.0005741208480622264,0.30694454006001326,0.034181384635774664,0.11390001518128338
timbre_cov_66,3297.510402305869,0.0,0.005715992305477258,0.011153234703738963,0.1570480462777033,0.13702748148862406,0.041135298305649784,0.11173694202399238
timbre_cov_41,2675.611658387737,0.0,0.008231478411537374,0.004105810778363782,0.1274291823989055,0.19733034884951067,0.004345613831498875,0.10970171502663835
timbre_cov_27,2647.517239046217,0.0,0.005991607664869392,0.010549858428600005,0.12609114338472815,0.14363471196388145,0.03798549165053659,0.1025704489997154
timbre_cov_67,753.6472441208965,9.269722502385641e-166,0.010732646719043615,0.003732881938706267,0.03589273386483855,0.257289980640535,0.002398812491379295,0.09852717566558428
timbre_cov_60,2037.4361559591396,0.0,0.007756226248573306,0.005609631477381852,0.0970351133931891,0.18593729520586166,0.012196012730217962,0.09838947377642292
timbre_cov_78,1619.5824127918447,0.0,0.008453085081101541,0.005821150274381894,0.07713419984230484,0.20264284792029524,0.01330020482712935,0.09769241752990981
timbre_cov_11,741.7955665163605,3.4608136866170834e-163,0.008852575899864767,0.006289610251583434,0.035328279877534216,0.21221970139515003,0.01574570759984571,0.08776456295750999
timbre_cov_48,2216.4333310128386,0.0,0.005729529604004746,0.005823809553630274,0.1055601233155484,0.13735200640472722,0.013314087069138985,0.08540873892980487
timbre_cov_19,2587.3118572194353,0.0,0.004939957890189639,0.005472856786207912,0.1232237714426918,0.11842388026028394,0.01148200747303162,0.08437655305866913
timbre_cov_73,1593.1566072833525,0.0,0.006556125179074002,0.006649259992679066,0.07587563107383881,0.15716769260725158,0.017623188029038703,0.08355550390337636
timbre_cov_12,1546.8883920455398,0.0,0.007222220213426667,0.0039381747129454804,0.07367203767146316,0.17313575556317315,0.0034705028663387753,0.08342609870032502
timbre_cov_9,1481.7905141370613,1.5e-323,0.007261315214607045,0.003760907281015354,0.0705716532384249,0.17407296633328015,0.0025451132548567103,0.08239657760885392
timbre_cov_54,1318.3655953495231,3.47275759007213e-288,0.007267992010541846,0.0038588667187292097,0.06278829546304902,0.17423302682364902,0.0030564911488105105,0.08002593781183619
timbre_cov_40,1248.619620896193,4.450399916737923e-273,0.007229473414739118,0.003567085997149672,0.05946653843486753,0.173309634017772,0.0015333075293463526,0.0781031599939953
