Model,Train RMSE,Val RMSE,Test RMSE,Test MAE,Test R²,Epochs,Train Time (s)
Simple MLP,8.379099283906971,8.779502178842533,8.706170307788762,6.048490524291992,0.35252684354782104,100,379.2679889202118
ResNet,8.913293455952944,8.938068078400448,8.843154725438591,6.198777198791504,0.3319917321205139,65,657.1293089389801
Deep NN,10.451290682433005,10.71655749259936,10.326525588856336,7.348140239715576,0.08908921480178833,87,784.7774412631989
Wide and Deep,10.4341542255161,10.462042729492671,10.39020169191775,8.498645782470703,0.07782065868377686,32,219.7502703666687
