Model,Train RMSE,Val RMSE,Test RMSE,Test MAE,Test R²,Train Time (s)
XGBoost,6.470638865512497,8.702507394350807,8.63371522076004,6.089813709259033,0.36325889825820923,48.06087303161621
LightGBM,8.226712405222212,8.818586415730836,8.76463286827931,6.158441434125258,0.34380206389252654,16.40922260284424
Random Forest,5.824278933517304,9.21558912558228,9.13218805184867,6.602323192318309,0.2876111822636034,162.73621106147766
Linear Regression,9.52011881298492,9.505543413074118,9.384601508647293,6.716829952096372,0.247686120444509,2.0601751804351807
Ridge Regression,9.52011881298493,9.505543413166814,9.384601511249237,6.716829961236044,0.24768612002734092,2.5168673992156982
Lasso Regression,9.52121172296432,9.505431242082084,9.386899307573753,6.7167599444384,0.24731767056344844,10.32379412651062
